data_hora;nome;whatsapp;tier;segmento;etapa;tentativas_contato1;count_messages;lead_id
2026-06-01 10:30;Lauriane;5512384736373;4;Pizzaria;abertura;3;1;44311d66-aeed-4fdd-a387-2e0b2679067d
2026-06-01 11:25;Robyn;5519325646089;4;Pizzaria;abertura;3;1;be238c4c-cb19-4ff5-8dbd-f4719b90b287
2026-06-01 11:38;Mekhi;5517915081603;4;Pizzaria;abertura;3;1;2641259f-fd6f-4e13-bebf-d1ce80b4c934
2026-06-01 12:27;A3Tech Soluções;5581988664469;4;Pizzaria;abertura;3;1;c214b4d0-c070-4f23-9412-31923bd2aca4
2026-06-01 12:43;Everett;5519387985343;4;Pizzaria;abertura;3;1;6aef61fe-2086-4f22-a932-fb109aac68e2
2026-06-01 12:44;Burley;5516617519599;4;Pizzaria;abertura;3;1;de6101fd-9146-4f77-a288-f4d4bee769af
2026-06-01 12:52;Otilia;5515464316790;4;Pizzaria;abertura;3;1;04a69485-5aad-41f4-8cc8-0dc6e91a0ad2
2026-06-01 12:53;Leila;5519236557207;4;Pizzaria;abertura;3;1;4c5848f6-d7de-41ba-99e4-294b12bd51d2
2026-06-01 13:21;Igor Roberto;5518998133315;4;Açaiteria;abertura;3;1;169e112c-ba78-466a-bb3b-bad30f936fd0
2026-06-01 13:41;Marcella;5512949378877;4;Pizzaria;abertura;3;1;7b9d8766-8c18-44f0-8c06-f56f56920fef
2026-06-01 13:49;Amanda;5516314468192;4;Pizzaria;abertura;3;1;44917fb1-9976-431d-a0e2-ae9fc2f106f3
2026-06-01 14:31;Eugene;5519126316651;4;Pizzaria;abertura;3;1;678819b3-04a9-4bc0-88c3-4f626a525257
2026-06-01 14:32;Chase;5512285321636;4;Pizzaria;abertura;3;1;39b8a0b4-2757-47a3-8f2b-1b09ff60f922
2026-06-01 14:54;Barry;5513893476161;4;Pizzaria;abertura;3;1;b27e48ed-be55-4017-819d-873f95e081bd
2026-06-01 15:10;Jackeline;5513376628021;4;Pizzaria;abertura;3;1;78ec5221-183e-46e8-b2aa-b490205bb18d
2026-06-01 15:21;Ova;5513319407615;4;Pizzaria;abertura;3;1;4f670af2-9132-47f3-9380-3e5db284540b
2026-06-01 15:58;Abigail;5514698438252;4;Pizzaria;abertura;3;1;f8adeb6c-d2f3-492d-8c5d-bdaae38840a2
2026-06-01 16:04;Nelda;5514918246831;4;Pizzaria;abertura;3;1;3b2b137b-6ca8-4d45-8670-f3750c162355
2026-06-01 16:14;Myra;5514359059163;4;Pizzaria;abertura;3;1;5f77cfd2-18ff-4c71-b7df-6c3ff48dd0e5
2026-06-01 16:49;ANIELY FARIAS CRUZ;5577981479360;4;Confeitaria;abertura;3;1;b468ab1c-91c8-4e1d-bbfc-47b1213b86cc
2026-06-01 17:32;Bibiana;5547988711346;4;Sushi;abertura;3;1;8321286f-7112-4fe7-8f1c-925089414e2b
2026-06-01 19:02;Stephan;5514858588300;4;Pizzaria;abertura;3;1;c90211be-207e-4504-ad3f-e9b9f9f846cd
2026-06-01 19:15;Hermann;5513679321805;4;Pizzaria;abertura;3;1;b83d9cfb-1d95-478d-bce4-ab98d1e45480
2026-06-01 19:26;Hellen;5516563962593;4;Pizzaria;abertura;3;1;b7ddc3cf-1132-4d82-b24d-53d79b85b19d
2026-06-01 20:47;Sunny;5516163109282;4;Pizzaria;abertura;3;1;f81cc02a-56b4-4c0a-a9ae-d4fe352f5396
2026-06-01 21:10;Cody;5519034467945;4;Pizzaria;abertura;3;1;d97d7729-c2de-4a7b-b1cc-ce30433db8cd
2026-06-01 03:09;Adella;5516427281018;4;Pizzaria;abertura;4;1;23268bf2-ab19-4ce9-a8c9-8df1476fac89
2026-06-01 07:01;Mustafa;5515103664762;4;Pizzaria;abertura;4;1;20b8b772-0861-4f1d-836d-2ed0bb27a068
2026-06-01 07:22;Lura;5518392168577;4;Pizzaria;abertura;4;1;c48140b1-8f3c-455d-81d6-5abafa272870
2026-06-01 07:44;Marlen;5513588551169;4;Pizzaria;abertura;4;1;851e38d1-2a32-4686-8a53-67445920660e
2026-06-01 08:09;Viva;5517527424342;4;Pizzaria;abertura;4;1;f48e5cbd-50f4-4d7a-81e3-232e3722ba2d
2026-06-01 09:08;Gennaro;5517615901117;4;Pizzaria;abertura;4;1;dd1db9c7-b22a-428a-b48b-c7afa2ac4496
2026-06-01 09:23;Wilfrid;5519168682629;4;Pizzaria;abertura;4;1;a1de1500-9f14-4dc4-b810-e1da70ee60dc
2026-06-01 09:40;Ada;5514603669847;4;Pizzaria;abertura;4;1;910bc6d9-aa68-4946-b473-53da24759f04
2026-06-01 10:00;Monserrat;5518188711297;4;Pizzaria;abertura;4;1;1fa65253-a97d-48c7-9dab-0550cfe4695b
2026-06-01 14:09;darlan;5554996984090;4;Lanchonete;abertura;4;1;17f724e1-e62b-4def-9393-8f39d2ee797d
2026-06-01 13:26;Marina;5515529518159;4;Pizzaria;abertura;7;1;f84eb00f-7e92-47f2-9c40-acce3b6c931e
2026-06-01 10:59;Sueny Ioshimi;5516991014704;5;Confeitaria;abertura;2;1;fc54e074-8d33-42fb-8a94-0078d04428b8
2026-06-01 15:42;Gabriele;5562995530993;5;Lanchonete;abertura;2;1;8fe60429-1c5f-477e-b19c-a27391938ada
2026-06-01 16:07;Andrew ;5584997079063;5;Açaiteria;atendido;2;1;648ffb71-aa77-413a-97b9-e9870a3c63fe
2026-06-01 18:15;Larissa Santos Cordeiro;5521966125630;5;Lanchonete;abertura;2;1;72e731b2-a65d-4a2d-a614-9d0fb32376d8
2026-06-02 00:21;Stefany Silva Souza Salomão ;5531975053130;5;Outro;abertura;2;1;bd2c12e4-86cf-4805-aeff-902f318bae2b
2026-06-02 18:32;Aline Kardiele;5584998493681;5;Lanchonete;abertura;2;1;35452dff-65ee-4d7d-9804-f32792364900
2026-06-02 21:45;Mariana Andrade da silva ;5541984799728;5;Hamburgueria;atendido;2;1;5cd2216e-bf47-4c33-89a6-a21f00adb9d4
2026-06-01 11:30;Gilza Motta;5527999960102;5;Pizzaria;abertura;3;1;d560e9e9-f38f-47cb-ad1c-72b6942ae226
2026-06-01 19:18;Yasmin costa;5521969786391;5;Hamburgueria;abertura;3;1;55ab6c7b-cba8-4e7c-adc3-1ab84383eae1
